day,close,pem,pep,p20,p50,p80
2012-07-23,3405.19,35.28,42.37,32.03,36.59,40.21
2012-07-24,3403.96,34.93,39.30,32.03,36.57,40.21
2012-07-25,3412.38,35.31,42.86,32.03,36.55,40.21
2012-07-26,3414.30,35.13,41.07,32.03,36.55,40.21
2012-07-27,3366.40,34.39,35.57,32.04,36.54,40.21
2012-07-30,3287.36,33.36,29.28,32.04,36.50,40.20
2012-07-31,3243.57,32.96,27.17,32.05,36.47,40.20
2012-08-01,3231.92,33.87,31.99,32.05,36.45,40.20
2012-08-02,3295.28,34.50,36.33,32.05,36.44,40.20
2012-08-03,3351.65,35.05,40.67,32.05,36.44,40.20
2012-08-06,3407.43,35.75,46.38,32.06,36.44,40.19
2012-08-07,3461.67,35.34,43.56,32.06,36.43,40.19
2012-08-08,3458.72,34.69,37.66,32.06,36.42,40.19
2012-08-09,3396.52,35.92,47.02,32.06,36.42,40.19
2012-08-10,3504.49,36.25,49.14,32.06,36.42,40.19
2012-08-13,3534.91,36.02,47.71,32.06,36.41,40.19
2012-08-14,3527.71,36.11,48.34,32.06,36.41,40.19
2012-08-15,3526.99,35.86,46.69,32.06,36.39,40.19
2012-08-16,3498.58,35.33,43.10,32.06,36.38,40.19
2012-08-17,3436.50,34.56,36.33,32.06,36.36,40.19
2012-08-20,3401.00,33.64,30.26,32.07,36.33,40.19
2012-08-21,3411.54,34.38,35.34,32.07,36.33,40.19
2012-08-22,3496.39,32.52,24.40,32.07,36.32,40.19
2012-08-23,3473.75,32.44,23.47,32.07,36.30,40.19
2012-08-24,3483.23,31.73,16.42,32.06,36.29,40.18
2012-08-27,3440.80,30.80,11.09,32.06,36.27,40.18
2012-08-28,3383.63,30.70,10.62,32.06,36.25,40.17
2012-08-29,3357.07,30.40,9.59,32.05,36.25,40.17
2012-08-30,3343.12,29.27,4.96,32.03,36.25,40.17
2012-08-31,3266.93,28.94,3.72,32.03,36.23,40.17
2012-09-03,3261.36,29.82,7.54,32.03,36.20,40.16
2012-09-04,3343.39,29.67,6.97,32.02,36.20,40.16
2012-09-05,3322.71,30.24,9.43,32.01,36.19,40.16
2012-09-06,3334.76,30.26,9.53,32.01,36.19,40.16
2012-09-07,3341.13,30.81,11.98,32.01,36.19,40.16
2012-09-10,3434.66,30.59,10.96,32.00,36.19,40.16
2012-09-11,3431.05,31.03,13.41,31.99,36.19,40.16
2012-09-12,3461.68,31.31,14.96,31.98,36.19,40.16
2012-09-13,3487.91,30.91,12.82,31.97,36.18,40.16
2012-09-14,3457.57,30.95,13.03,31.97,36.17,40.16
2012-09-17,3449.85,29.79,7.56,31.97,36.17,40.15
2012-09-18,3358.58,29.76,7.44,31.96,36.14,40.15
2012-09-19,3360.65,30.05,8.99,31.95,36.11,40.15
2012-09-20,3387.89,29.44,5.99,31.95,36.11,40.15
2012-09-21,3290.91,28.69,2.44,31.94,36.11,40.15
2012-09-24,3262.73,29.10,4.54,31.94,36.10,40.14
2012-09-25,3271.38,28.95,3.98,31.93,36.09,40.14
2012-09-26,3262.68,28.71,2.65,31.91,36.09,40.14
2012-09-27,3221.11,29.01,4.41,31.89,36.08,40.14
2012-09-28,3277.14,29.33,6.28,31.89,36.08,40.14
2012-10-08,3328.53,29.16,5.28,31.89,36.07,40.14
2012-10-09,3327.77,29.95,9.45,31.88,36.06,40.14
2012-10-10,3425.64,30.57,12.07,31.87,36.06,40.14
2012-10-11,3452.03,29.73,8.11,31.85,36.04,40.14
2012-10-12,3410.09,29.85,8.98,31.84,36.02,40.14
2012-10-15,3397.35,30.30,11.27,31.83,36.02,40.14
2012-10-16,3435.12,30.80,13.33,31.83,36.02,40.14
2012-10-17,3477.87,30.36,11.46,31.81,36.01,40.14
2012-10-18,3468.19,30.35,11.45,31.81,36.00,40.14
2012-10-19,3485.18,29.83,8.71,31.79,36.00,40.14
2012-10-22,3451.86,29.98,9.79,31.78,35.99,40.14
2012-10-23,3466.01,29.60,7.28,31.77,35.98,40.14
2012-10-24,3394.55,29.33,6.30,31.74,35.97,40.14
2012-10-25,3367.55,29.30,5.86,31.73,35.96,40.14
2012-10-26,3334.08,29.27,5.53,31.72,35.95,40.14
2012-10-29,3312.83,28.86,3.25,31.70,35.95,40.13
2012-10-30,3338.27,29.46,7.35,31.66,35.95,40.13
2012-10-31,3337.75,31.55,19.65,31.64,35.94,40.13
2012-11-01,3394.89,31.63,19.96,31.63,35.93,40.13
2012-11-02,3427.77,31.57,19.72,31.60,35.92,40.13
2012-11-05,3420.94,31.71,20.34,31.61,35.92,40.13
2012-11-06,3402.18,31.48,19.03,31.58,35.89,40.13
2012-11-07,3401.47,31.96,22.56,31.58,35.86,40.13
2012-11-08,3387.11,31.51,19.42,31.57,35.86,40.13
2012-11-09,3341.68,31.11,16.40,31.57,35.86,40.12
2012-11-12,3301.80,30.21,11.35,31.56,35.83,40.12
2012-11-13,3266.74,30.00,10.48,31.55,35.80,40.11
2012-11-14,3219.56,29.63,8.01,31.54,35.80,40.11
2012-11-15,3254.28,28.98,4.38,31.52,35.80,40.11
2012-11-16,3240.99,28.36,1.71,31.51,35.78,40.11
2012-11-19,3212.55,29.77,9.27,31.51,35.77,40.11
2012-11-20,3188.17,29.81,9.47,31.50,35.76,40.11
2012-11-21,3177.50,30.76,14.67,31.50,35.75,40.11
2012-11-22,3196.72,30.27,12.21,31.48,35.74,40.10
2012-11-23,3145.91,30.56,13.89,31.48,35.73,40.09
2012-11-26,3151.16,30.43,13.56,31.48,35.73,40.09
2012-11-27,3134.05,29.33,6.67,31.47,35.73,40.08
2012-11-28,3049.84,28.98,4.55,31.45,35.69,40.07
2012-11-29,2994.48,28.49,2.01,31.43,35.66,40.07
2012-11-30,2995.69,29.02,4.85,31.40,35.66,40.07
2012-12-03,3030.91,28.24,1.48,31.39,35.65,40.06
2012-12-04,2966.75,28.23,1.47,31.39,35.64,40.06
2012-12-05,2973.30,29.08,5.47,31.39,35.64,40.06
2012-12-06,3058.86,29.02,5.04,31.38,35.64,40.06
2012-12-07,3044.26,29.63,8.92,31.38,35.63,40.06
2012-12-10,3107.26,30.02,12.05,31.38,35.63,40.06
2012-12-11,3112.39,29.77,10.16,31.37,35.63,40.06
2012-12-12,3093.10,29.70,9.62,31.35,35.61,40.06
2012-12-13,3082.63,29.53,8.46,31.33,35.58,40.06
2012-12-14,3075.90,30.37,14.20,31.33,35.58,40.06
2012-12-17,3167.20,30.32,13.97,31.32,35.57,40.06
2012-12-18,3095.55,30.64,15.73,31.31,35.55,40.06
2012-12-19,3076.81,30.62,15.71,31.31,35.54,40.06
2012-12-20,3070.63,30.27,13.62,31.30,35.53,40.06
2012-12-21,3043.08,30.45,15.06,31.29,35.53,40.05
2012-12-24,3075.45,29.96,11.72,31.28,35.53,40.05
2012-12-25,3147.49,31.74,23.42,31.29,35.53,40.04
2012-12-26,3229.10,31.84,24.22,31.29,35.52,40.04
2012-12-27,3236.52,31.64,22.85,31.29,35.51,40.04
2012-12-28,3222.07,31.87,24.48,31.29,35.50,40.03
2012-12-31,3250.66,31.94,25.18,31.30,35.49,40.03
2013-01-04,3268.42,30.52,15.26,31.29,35.48,40.02
2013-01-07,3190.59,31.99,26.16,31.29,35.47,40.02
2013-01-08,3246.31,32.73,32.61,31.29,35.46,40.02
2013-01-09,3342.78,32.62,32.07,31.29,35.45,40.02
2013-01-10,3344.29,32.56,31.62,31.30,35.45,40.01
2013-01-11,3366.32,32.44,30.36,31.30,35.45,40.01
2013-01-14,3322.58,33.91,38.42,31.30,35.45,40.01
2013-01-15,3445.69,32.55,31.42,31.30,35.44,40.01
2013-01-16,3501.26,32.44,30.27,31.30,35.42,40.01
2013-01-17,3524.18,31.69,22.98,31.31,35.40,40.00
2013-01-18,3529.50,32.13,27.76,31.31,35.39,40.00
2013-01-21,3571.52,34.09,39.35,31.31,35.38,40.00
2013-01-22,3596.11,34.22,40.63,31.31,35.38,40.00
2013-01-23,3530.13,34.74,44.35,31.31,35.38,40.00
2013-01-24,3548.88,35.41,50.20,31.31,35.38,39.99
2013-01-25,3501.99,35.57,51.17,31.31,35.38,39.99
2013-01-28,3591.51,36.10,54.06,31.31,35.39,39.99
2013-01-29,3689.78,35.22,48.23,31.31,35.38,39.99
2013-01-30,3683.84,36.41,55.57,31.32,35.39,39.99
2013-01-31,3667.73,36.12,54.30,31.32,35.40,39.99
2013-02-01,3657.20,34.56,42.73,31.33,35.39,39.99
2013-02-04,3650.45,33.42,36.02,31.33,35.38,39.99
2013-02-05,3564.13,32.90,33.27,31.33,35.38,39.99
