day,close,pem,pep,p20,p50,p80
2013-05-22,3007.96,35.07,82.30,29.43,31.66,33.82
2013-05-23,2996.78,34.92,81.65,29.43,31.66,33.97
2013-05-24,2965.26,35.48,84.21,29.43,31.67,33.99
2013-05-27,2994.76,35.91,85.84,29.44,31.68,34.01
2013-05-28,3009.88,35.30,83.37,29.44,31.69,34.17
2013-05-29,3035.99,35.82,85.45,29.45,31.69,34.39
2013-05-30,3044.28,35.89,85.71,29.45,31.69,34.45
2013-05-31,3042.46,35.80,85.07,29.45,31.69,34.57
2013-06-03,3017.23,35.40,83.30,29.45,31.69,34.65
2013-06-04,3004.29,34.61,79.73,29.45,31.70,34.64
2013-06-05,2953.44,34.72,80.00,29.45,31.70,34.69
2013-06-06,2956.44,34.14,78.70,29.45,31.70,34.68
2013-06-07,2913.96,33.74,77.40,29.46,31.70,34.67
2013-06-13,2865.33,32.86,70.31,29.47,31.71,34.65
2013-06-14,2777.61,33.50,75.95,29.48,31.72,34.64
2013-06-17,2813.83,33.67,76.67,29.49,31.73,34.62
2013-06-18,2810.44,33.56,76.05,29.50,31.73,34.61
2013-06-19,2823.22,33.46,75.00,29.50,31.73,34.61
2013-06-20,2805.03,32.27,59.38,29.50,31.74,34.61
2013-06-21,2713.98,31.88,52.42,29.50,31.74,34.60
2013-06-24,2704.65,30.14,29.67,29.50,31.74,34.60
2013-06-25,2537.95,30.10,29.17,29.50,31.73,34.60
2013-06-26,2530.91,30.91,36.54,29.50,31.73,34.57
2013-06-27,2558.25,29.99,28.60,29.51,31.73,34.54
2013-06-28,2534.05,30.04,29.19,29.51,31.72,34.51
2013-07-01,2557.20,30.85,36.09,29.52,31.71,34.48
2013-07-02,2590.97,31.38,44.25,29.52,31.70,34.45
2013-07-03,2617.39,31.18,40.26,29.52,31.70,34.44
2013-07-04,2607.74,31.46,45.79,29.52,31.70,34.42
2013-07-05,2626.45,31.31,43.32,29.53,31.70,34.41
2013-07-08,2620.47,29.90,26.67,29.53,31.69,34.39
2013-07-09,2535.79,29.94,28.11,29.53,31.69,34.38
2013-07-10,2543.03,30.82,35.97,29.53,31.69,34.33
2013-07-11,2615.20,31.64,48.72,29.53,31.69,34.28
2013-07-12,2710.37,31.54,46.70,29.54,31.69,34.24
2013-07-15,2671.82,32.37,62.77,29.54,31.69,34.19
2013-07-16,2719.19,32.79,69.64,29.54,31.69,34.14
2013-07-17,2739.98,32.60,67.16,29.54,31.69,34.12
2013-07-18,2700.01,32.56,66.17,29.54,31.69,34.10
2013-07-19,2675.37,32.03,55.70,29.55,31.70,34.07
2013-07-22,2613.58,32.56,66.11,29.55,31.70,34.05
2013-07-23,2645.86,33.30,75.21,29.55,31.70,34.03
2013-07-24,2716.08,33.77,79.04,29.55,31.70,34.02
2013-07-25,2715.14,33.01,72.80,29.55,31.71,34.01
2013-07-26,2681.40,33.05,73.49,29.55,31.72,34.01
2013-07-29,2672.79,32.56,65.42,29.55,31.73,34.00
2013-07-30,2619.84,32.44,63.20,29.55,31.73,33.99
2013-07-31,2623.50,32.64,67.43,29.56,31.73,33.99
2013-08-01,2632.49,33.66,77.85,29.56,31.74,33.98
2013-08-02,2701.69,33.61,77.48,29.57,31.74,33.98
2013-08-05,2707.50,34.36,80.41,29.57,31.74,34.00
2013-08-06,2747.29,34.63,81.28,29.58,31.74,34.03
2013-08-07,2770.21,34.20,80.08,29.58,31.75,34.12
2013-08-08,2747.08,34.39,80.53,29.58,31.76,34.18
2013-08-09,2749.01,34.58,80.78,29.59,31.77,34.26
2013-08-12,2757.32,34.81,82.04,29.59,31.77,34.36
2013-08-13,2815.57,35.19,83.71,29.59,31.77,34.38
2013-08-14,2828.36,34.99,82.32,29.59,31.77,34.39
2013-08-15,2819.04,34.75,81.34,29.59,31.77,34.43
2013-08-16,2786.78,33.93,78.14,29.59,31.77,34.41
2013-08-19,2747.39,34.54,80.00,29.59,31.77,34.47
2013-08-20,2789.96,34.49,79.84,29.59,31.77,34.49
2013-08-21,2778.13,34.95,82.29,29.59,31.78,34.53
2013-08-22,2784.15,35.08,83.33,29.59,31.80,34.56
2013-08-23,2785.15,34.84,81.56,29.60,31.82,34.59
2013-08-26,2773.28,35.58,86.00,29.60,31.84,34.60
2013-08-27,2830.99,35.75,86.63,29.60,31.86,34.61
2013-08-28,2845.87,35.25,83.86,29.60,31.87,34.63
2013-08-29,2825.69,35.21,83.50,29.60,31.87,34.66
2013-08-30,2819.86,34.11,77.38,29.60,31.87,34.65
2013-09-02,2799.24,34.66,79.80,29.60,31.87,34.66
2013-09-03,2812.89,35.16,83.00,29.60,31.88,34.68
2013-09-04,2855.01,35.22,83.63,29.60,31.88,34.71
2013-09-05,2855.86,35.09,82.48,29.60,31.88,34.74
2013-09-06,2855.10,35.38,84.68,29.60,31.89,34.75
2013-09-09,2876.20,35.49,85.29,29.60,31.89,34.76
2013-09-10,2939.44,35.80,87.08,29.60,31.89,34.81
2013-09-11,2971.76,35.47,84.77,29.61,31.91,34.83
2013-09-12,2961.37,35.44,84.60,29.61,31.92,34.89
2013-09-13,2979.32,35.66,86.38,29.62,31.93,34.93
2013-09-16,2972.44,35.75,86.60,29.62,31.94,34.94
2013-09-17,2972.23,35.27,83.14,29.63,31.95,34.95
2013-09-18,2917.22,35.51,84.91,29.63,31.95,34.98
2013-09-23,2933.50,36.15,89.00,29.63,31.95,35.00
2013-09-24,2987.09,36.39,89.40,29.63,31.95,35.03
2013-09-25,2972.43,36.13,88.46,29.63,31.95,35.07
2013-09-26,2956.96,35.69,85.80,29.63,31.96,35.07
2013-09-27,2902.39,35.76,86.40,29.63,31.98,35.07
2013-09-30,2913.18,36.26,89.10,29.63,31.99,35.08
2013-10-08,2942.85,36.81,90.65,29.63,32.00,35.08
2013-10-09,2987.54,37.02,91.43,29.63,32.01,35.10
2013-10-10,3013.55,36.73,90.11,29.63,32.02,35.15
2013-10-11,2987.01,37.20,92.22,29.63,32.02,35.16
2013-10-14,3033.06,37.20,92.05,29.63,32.03,35.16
2013-10-15,3051.61,37.22,92.25,29.63,32.03,35.17
2013-10-16,3048.28,36.31,88.30,29.63,32.03,35.19
2013-10-17,2976.25,36.40,88.51,29.63,32.03,35.21
2013-10-18,2969.99,36.42,88.53,29.63,32.03,35.22
2013-10-21,2986.39,37.55,93.25,29.63,32.03,35.23
2013-10-22,3051.97,37.14,91.57,29.63,32.03,35.24
2013-10-23,3019.58,36.20,87.10,29.63,32.04,35.25
2013-10-24,2965.48,36.07,86.01,29.63,32.04,35.25
2013-10-25,2944.28,35.27,79.89,29.63,32.04,35.27
2013-10-28,2897.50,35.30,80.30,29.63,32.05,35.27
2013-10-29,2893.30,34.50,73.84,29.64,32.05,35.27
2013-10-30,2860.94,34.89,76.11,29.64,32.05,35.27
2013-10-31,2905.02,34.69,75.05,29.64,32.05,35.27
2013-11-01,2865.65,34.43,73.06,29.65,32.07,35.27
2013-11-04,2866.14,34.44,73.11,29.65,32.09,35.26
2013-11-05,2871.91,34.74,75.37,29.66,32.10,35.26
2013-11-06,2893.99,34.62,74.31,29.66,32.11,35.25
2013-11-07,2862.25,34.08,71.43,29.67,32.13,35.25
2013-11-08,2835.46,33.38,67.09,29.67,32.15,35.25
2013-11-11,2795.86,33.94,70.80,29.68,32.16,35.25
2013-11-12,2808.51,34.44,72.86,29.68,32.16,35.25
2013-11-13,2836.47,33.91,70.36,29.69,32.17,35.25
2013-11-14,2779.22,34.63,74.59,29.69,32.18,35.25
2013-11-15,2809.20,35.22,79.35,29.69,32.19,35.25
2013-11-18,2865.32,36.03,86.08,29.70,32.20,35.25
2013-11-19,2946.82,36.24,87.55,29.70,32.20,35.26
2013-11-20,2941.95,36.41,88.47,29.71,32.20,35.27
2013-11-21,2962.50,36.16,87.05,29.71,32.20,35.27
2013-11-22,2949.04,36.08,86.00,29.71,32.20,35.29
2013-11-25,2935.14,36.28,87.81,29.71,32.20,35.30
2013-11-26,2929.89,36.41,88.55,29.72,32.21,35.33
2013-11-27,2933.35,36.75,90.00,29.72,32.21,35.37
2013-11-28,2968.90,37.00,90.73,29.72,32.21,35.38
2013-11-29,2995.76,37.48,93.24,29.72,32.22,35.38
2013-12-02,3008.75,35.66,82.06,29.72,32.22,35.39
2013-12-03,2918.93,36.12,85.28,29.72,32.22,35.42
2013-12-04,2960.49,36.65,89.03,29.72,32.23,35.45
2013-12-05,3000.60,36.86,89.93,29.72,32.23,35.47
2013-12-06,2991.01,36.63,88.54,29.73,32.23,35.48
2013-12-09,2977.32,37.17,91.90,29.74,32.23,35.49
2013-12-10,2991.35,37.12,91.39,29.75,32.23,35.50
2013-12-11,2993.84,36.74,89.12,29.76,32.24,35.51
2013-12-12,2955.24,37.10,91.07,29.77,32.25,35.53
2013-12-13,2962.43,37.29,92.83,29.77,32.26,35.55
2013-12-16,2964.94,36.86,89.35,29.77,32.27,35.56
2013-12-17,2920.04,36.48,87.28,29.77,32.27,35.57
2013-12-18,2903.89,36.42,86.61,29.77,32.27,35.59
2013-12-19,2902.26,36.05,83.16,29.77,32.28,35.61
2013-12-20,2874.12,35.60,79.72,29.77,32.29,35.61
2013-12-23,2823.69,35.77,81.31,29.77,32.30,35.62
2013-12-24,2823.99,35.96,82.56,29.77,32.30,35.64
2013-12-25,2838.26,36.92,89.66,29.77,32.30,35.66
2013-12-26,2868.54,36.36,85.71,29.77,32.31,35.66
2013-12-27,2819.03,37.16,91.75,29.77,32.31,35.68
2013-12-30,2866.68,37.31,92.97,29.78,32.31,35.70
2013-12-31,2871.45,37.27,92.47,29.78,32.32,35.73
2014-01-02,2893.21,37.90,94.53,29.79,32.33,35.75
2014-01-03,2900.63,37.74,93.86,29.79,32.33,35.75
2014-01-06,2874.32,36.72,87.39,29.79,32.33,35.76
2014-01-07,2803.29,37.22,91.67,29.79,32.33,35.77
2014-01-08,2814.10,37.32,92.87,29.79,32.33,35.78
2014-01-09,2825.82,36.75,87.63,29.79,32.34,35.80
2014-01-10,2793.50,36.11,82.06,29.79,32.36,35.80
2014-01-13,2758.99,36.12,82.43,29.80,32.36,35.82
2014-01-14,2748.42,36.81,88.03,29.81,32.37,35.86
2014-01-15,2788.85,37.01,89.39,29.82,32.38,35.88
2014-01-16,2797.39,37.14,90.42,29.83,32.38,35.89
2014-01-17,2798.91,36.63,85.74,29.84,32.39,35.91
2014-01-20,2764.64,36.53,85.43,29.84,32.39,35.92
2014-01-21,2746.05,36.96,88.46,29.84,32.39,35.94
2014-01-22,2781.52,37.61,93.66,29.84,32.40,35.98
2014-01-23,2849.94,37.85,94.17,29.84,32.40,36.01
2014-01-24,2854.23,38.20,95.17,29.84,32.40,36.03
2014-01-27,2882.48,38.14,95.02,29.84,32.40,36.04
